Year,City,Sport,Athlete,Country,Medal
1928,AMSTERDAM,Football,ZUMELZU A. B.,ARG,Silver
1928,AMSTERDAM,Aquatics,ZORRILLA Victoriano,ARG,Gold
1928,AMSTERDAM,Hockey,ZANDER Erich,GER,Bronze
1928,AMSTERDAM,Fencing,ZABIELSKI Jerzy,POL,Bronze
1928,AMSTERDAM,Hockey,YUSUF Sayed Mohamed,IND,Gold
1928,AMSTERDAM,Athletics,YRJÖLÄ Paavo Ilmari,FIN,Gold
1928,AMSTERDAM,Aquatics,YONEYAMA Hiroshi,JPN,Silver
1928,AMSTERDAM,Aquatics,YLDEFONSO Teofilo,PHI,Bronze
1928,AMSTERDAM,Hockey,WÖLTJE Heinz,GER,Bronze
1928,AMSTERDAM,Weightlifting,WÖLPERT Hans,GER,Bronze
1928,AMSTERDAM,Cycling,WYLD Percy,GBR,Bronze
1928,AMSTERDAM,Cycling,WYLD Leonard Arthur,GBR,Bronze
1928,AMSTERDAM,Cycling,WYLD Frederick Henry,GBR,Bronze
1928,AMSTERDAM,Athletics,WYKOFF Frank Clifford,USA,Gold
1928,AMSTERDAM,Aquatics,WYATT Paul,USA,Bronze
1928,AMSTERDAM,Rowing,WRIGHT JR. Joseph William,CAN,Silver
1928,AMSTERDAM,Rowing,WORKMAN James Theodore,USA,Gold
1928,AMSTERDAM,Gymnastics,WOODS Doris,GBR,Bronze
1928,AMSTERDAM,Hockey,WOLLNER Rolf,GER,Bronze
1928,AMSTERDAM,Athletics,WILSON Alexander S.,CAN,Bronze
1928,AMSTERDAM,Athletics,WILLIAMS Percy,CAN,Gold
1928,AMSTERDAM,Athletics,WILLIAMS Percy,CAN,Gold
1928,AMSTERDAM,Athletics,WILEY Mildred Olive,USA,Bronze
1928,AMSTERDAM,Athletics,WIDE Edvin,SWE,Bronze
1928,AMSTERDAM,Athletics,WIDE Edvin,SWE,Bronze
1928,AMSTERDAM,Gymnastics,WEZEL Melchior,SUI,Gold
1928,AMSTERDAM,Rowing,WEST Harold E.,GBR,Silver
1928,AMSTERDAM,Hockey,WENTHOLT N.,NED,Silver
1928,AMSTERDAM,Sailing,WEKSCHIN N.,EST,Bronze
1928,AMSTERDAM,Aquatics,WEISSMULLER Johnny,USA,Gold
1928,AMSTERDAM,Aquatics,WEISSMULLER Johnny,USA,Gold
1928,AMSTERDAM,Hockey,WEISS Kurt,GER,Bronze
1928,AMSTERDAM,Football,WEIHMULLER L. F.,ARG,Silver
1928,AMSTERDAM,Athletics,WASHBURN Mary T.,USA,Silver
1928,AMSTERDAM,Rowing,WARRINER Michael Henry,GBR,Gold
1928,AMSTERDAM,Wrestling,WALI W.,EST,Gold
1928,AMSTERDAM,Aquatics,VRABELY Jozsef,HUN,Silver
1928,AMSTERDAM,Sailing,VON WIREN W.,EST,Bronze
1928,AMSTERDAM,Equestrian,VON LOTZBECK Eugen,GER,Gold
1928,AMSTERDAM,Equestrian,VON LANGEN Carl-Friedrich,GER,Gold
1928,AMSTERDAM,Equestrian,VON LANGEN Carl-Friedrich,GER,Gold
1928,AMSTERDAM,Sailing,VOGDT E.,EST,Bronze
1928,AMSTERDAM,Football,VIVIANO A.,ITA,Bronze
1928,AMSTERDAM,Rowing,VITTORI Nicolo,ITA,Gold
1928,AMSTERDAM,Gymnastics,VITTADINI Rita,ITA,Silver
1928,AMSTERDAM,Fencing,VITEZ TERSZTYANSZKY Odön,HUN,Gold
1928,AMSTERDAM,Hockey,VISSER 'T HOOFT Hendrik Philip,NED,Silver
1928,AMSTERDAM,Sailing,VETT Vilhelm,DEN,Silver
1928,AMSTERDAM,Wrestling,VESTERLUND E.V.,FIN,Bronze
1928,AMSTERDAM,Gymnastics,VESELY Vaclav,TCH,Silver
1928,AMSTERDAM,Equestrian,VERSTEEGH Pierre Marie Robert,NED,Bronze
1928,AMSTERDAM,Weightlifting,VERHEYEN Johannes,NED,Bronze
1928,AMSTERDAM,Gymnastics,VERCESI Ines,ITA,Silver
1928,AMSTERDAM,Equestrian,VENTURA Frantisek,TCH,Gold
1928,AMSTERDAM,Hockey,VAN VOORST VAN BEEST J. M.,NED,Silver
1928,AMSTERDAM,Hockey,VAN TIENHOVEN VAN DEN BOGAARD J. J.,NED,Silver
1928,AMSTERDAM,Sailing,VAN STAVEREN C.,NED,Silver
1928,AMSTERDAM,Gymnastics,VAN RUMT Hendrika Alida,NED,Gold
1928,AMSTERDAM,Equestrian,VAN REEDE Jan Hermannus,NED,Bronze
